data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.14', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3051', 'est[0.85,0.44,-0.01,56]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.72', 'le_us=2746', 'est[0.89,0.43,0.04,57]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.17', '1495[0.00,4.00,0.00]=3.69', '5B01[4.00,4.00,0.00]=4.74', 'le_us=2746', 'est[0.88,0.43,0.11,57]']"
"['CD37[0.00,0.00,0.00]=0.97', '592F[4.00,0.00,0.00]=3.17', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3265', 'est[0.88,0.43,0.11,57]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.21', '1495[0.00,4.00,0.00]=3.69', '5B01[4.00,4.00,0.00]=4.78', 'le_us=2746', 'est[0.87,0.43,0.19,57]']"
"['CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.20', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2746', 'est[0.87,0.44,0.24,57]']"
"['CD37[0.00,0.00,0.00]=0.98', '592F[4.00,0.00,0.00]=3.16', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.70', 'le_us=3265', 'est[0.88,0.42,0.06,58]']"
"['CD37[0.00,0.00,0.00]=1.08', '592F[4.00,0.00,0.00]=3.16', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2777', 'est[0.88,0.43,0.14,56]']"
"['CD37[0.00,0.00,0.00]=1.09', '592F[4.00,0.00,0.00]=3.19', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.65', 'le_us=2868', 'est[0.88,0.44,0.21,57]']"
"['CD37[0.00,0.00,0.00]=1.12', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=3.81', '5B01[4.00,4.00,0.00]=4.60', 'le_us=2777', 'est[0.91,0.42,0.27,58]']"
"['CD37[0.00,0.00,0.00]=1.12', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.68', 'le_us=3051', 'est[0.92,0.44,0.28,55]']"
"['CD37[0.00,0.00,0.00]=1.17', '592F[4.00,0.00,0.00]=3.05', '1495[0.00,4.00,0.00]=3.68', '5B01[4.00,4.00,0.00]=4.62', 'le_us=2777', 'est[0.94,0.45,0.30,55]']"
"['CD37[0.00,0.00,0.00]=1.18', '592F[4.00,0.00,0.00]=3.06', '1495[0.00,4.00,0.00]=3.71', '5B01[4.00,4.00,0.00]=4.60', 'le_us=2807', 'est[0.96,0.45,0.33,56]']"
"['CD37[0.00,0.00,0.00]=1.22', '592F[4.00,0.00,0.00]=3.08', '1495[0.00,4.00,0.00]=3.71', '5B01[4.00,4.00,0.00]=4.53', 'le_us=2990', 'est[0.97,0.45,0.38,56]']"
"['CD37[0.00,0.00,0.00]=1.28', '592F[4.00,0.00,0.00]=2.96', '1495[0.00,4.00,0.00]=3.75', '5B01[4.00,4.00,0.00]=4.61', 'le_us=2777', 'est[1.00,0.45,0.40,55]']"
"['CD37[0.00,0.00,0.00]=1.26', '592F[4.00,0.00,0.00]=2.96', '1495[0.00,4.00,0.00]=3.74', '5B01[4.00,4.00,0.00]=4.61', 'le_us=2777', 'est[1.03,0.45,0.40,55]']"
"['CD37[0.00,0.00,0.00]=1.26', '592F[4.00,0.00,0.00]=2.94', '1495[0.00,4.00,0.00]=3.78', '5B01[4.00,4.00,0.00]=4.57', 'le_us=2777', 'est[1.05,0.44,0.40,56]']"
"['CD37[0.00,0.00,0.00]=1.33', '592F[4.00,0.00,0.00]=2.90', '1495[0.00,4.00,0.00]=3.71', '5B01[4.00,4.00,0.00]=4.49', 'le_us=2807', 'est[1.08,0.46,0.40,54]']"
"['CD37[0.00,0.00,0.00]=1.37', '592F[4.00,0.00,0.00]=2.86', '1495[0.00,4.00,0.00]=3.79', '5B01[4.00,4.00,0.00]=4.48', 'le_us=2777', 'est[1.11,0.45,0.42,55]']"
"['CD37[0.00,0.00,0.00]=1.33', '592F[4.00,0.00,0.00]=2.86', '1495[0.00,4.00,0.00]=3.79', '5B01[4.00,4.00,0.00]=4.56', 'le_us=3082', 'est[1.13,0.45,0.41,55]']"
"['CD37[0.00,0.00,0.00]=1.44', '592F[4.00,0.00,0.00]=2.84', '1495[0.00,4.00,0.00]=3.78', '5B01[4.00,4.00,0.00]=4.47', 'le_us=2746', 'est[1.16,0.45,0.44,54]']"
"['CD37[0.00,0.00,0.00]=1.47', '592F[4.00,0.00,0.00]=2.82', '1495[0.00,4.00,0.00]=3.86', '5B01[4.00,4.00,0.00]=4.51', 'le_us=2777', 'est[1.19,0.44,0.48,55]']"
"['CD37[0.00,0.00,0.00]=1.48', '592F[4.00,0.00,0.00]=2.79', '1495[0.00,4.00,0.00]=3.86', '5B01[4.00,4.00,0.00]=4.42', 'le_us=2868', 'est[1.22,0.43,0.50,55]']"
"['CD37[0.00,0.00,0.00]=1.54', '592F[4.00,0.00,0.00]=2.75', '1495[0.00,4.00,0.00]=3.85', '5B01[4.00,4.00,0.00]=4.41', 'le_us=2807', 'est[1.25,0.44,0.53,54]']"
"['CD37[0.00,0.00,0.00]=1.48', '592F[4.00,0.00,0.00]=2.68', '1495[0.00,4.00,0.00]=3.85', '5B01[4.00,4.00,0.00]=4.44', 'le_us=2777', 'est[1.28,0.43,0.49,54]']"
"['CD37[0.00,0.00,0.00]=1.58', '592F[4.00,0.00,0.00]=2.70', '1495[0.00,4.00,0.00]=3.86', '5B01[4.00,4.00,0.00]=4.39', 'le_us=2746', 'est[1.31,0.44,0.51,54]']"
"['CD37[0.00,0.00,0.00]=1.63', '592F[4.00,0.00,0.00]=2.66', '1495[0.00,4.00,0.00]=3.92', '5B01[4.00,4.00,0.00]=4.40', 'le_us=2777', 'est[1.35,0.43,0.54,54]']"
"['CD37[0.00,0.00,0.00]=1.69', '592F[4.00,0.00,0.00]=2.59', '1495[0.00,4.00,0.00]=3.88', '5B01[4.00,4.00,0.00]=4.37', 'le_us=2777', 'est[1.39,0.44,0.55,53]']"
"['CD37[0.00,0.00,0.00]=1.67', '592F[4.00,0.00,0.00]=2.59', '1495[0.00,4.00,0.00]=3.87', '5B01[4.00,4.00,0.00]=4.31', 'le_us=2807', 'est[1.42,0.45,0.54,53]']"
"['CD37[0.00,0.00,0.00]=1.73', '592F[4.00,0.00,0.00]=2.56', '1495[0.00,4.00,0.00]=3.95', '5B01[4.00,4.00,0.00]=4.30', 'le_us=2838', 'est[1.45,0.45,0.56,54]']"
"['CD37[0.00,0.00,0.00]=1.78', '592F[4.00,0.00,0.00]=2.53', '1495[0.00,4.00,0.00]=3.88', '5B01[4.00,4.00,0.00]=4.35', 'le_us=2777', 'est[1.49,0.46,0.57,53]']"
"['CD37[0.00,0.00,0.00]=1.79', '592F[4.00,0.00,0.00]=2.58', '1495[0.00,4.00,0.00]=3.93', '5B01[4.00,4.00,0.00]=4.34', 'le_us=2777', 'est[1.51,0.46,0.61,53]']"
"['CD37[0.00,0.00,0.00]=1.78', '592F[4.00,0.00,0.00]=2.55', '1495[0.00,4.00,0.00]=3.94', '5B01[4.00,4.00,0.00]=4.32', 'le_us=2777', 'est[1.53,0.46,0.62,53]']"
"['CD37[0.00,0.00,0.00]=1.89', '592F[4.00,0.00,0.00]=2.47', '1495[0.00,4.00,0.00]=3.93', '5B01[4.00,4.00,0.00]=4.31', 'le_us=2807', 'est[1.57,0.47,0.64,53]']"
"['CD37[0.00,0.00,0.00]=1.84', '592F[4.00,0.00,0.00]=2.44', '1495[0.00,4.00,0.00]=3.93', '5B01[4.00,4.00,0.00]=4.22', 'le_us=2777', 'est[1.60,0.48,0.62,55]']"
"['CD37[0.00,0.00,0.00]=1.86', '592F[4.00,0.00,0.00]=2.37', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=4.33', 'le_us=3051', 'est[1.63,0.47,0.60,55]']"
"['CD37[0.00,0.00,0.00]=1.89', '592F[4.00,0.00,0.00]=2.35', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=4.22', 'le_us=2746', 'est[1.66,0.46,0.58,55]']"
