data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.99', '592F[4.00,0.00,0.00]=5.87', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5249', 'est[-0.04,-0.03,-0.01,70]']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.87', '1495[0.00,4.00,0.00]=3.96']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.02', '1495[0.00,4.00,0.00]=4.00']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.07', '1495[0.00,4.00,0.00]=3.90']"
"['5B01[4.00,4.00,0.00]=5.74', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.23', '1495[0.00,4.00,0.00]=3.95']"
"['5B01[4.00,4.00,0.00]=5.75', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.88', '1495[0.00,4.00,0.00]=4.01']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.21', '1495[0.00,4.00,0.00]=3.90', 'le_us=8545', 'est[-0.08,0.02,-0.17,54]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.94', '592F[4.00,0.00,0.00]=4.25', '5B01[4.00,4.00,0.00]=5.71']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.89', '1495[0.00,4.00,0.00]=4.03']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.27', '1495[0.00,4.00,0.00]=3.97']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.89', '1495[0.00,4.00,0.00]=3.95']"
"['5B01[4.00,4.00,0.00]=5.74', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.85', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.82', '1495[0.00,4.00,0.00]=3.97']"
"['5B01[4.00,4.00,0.00]=5.65', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.54', '1495[0.00,4.00,0.00]=3.98', 'le_us=6103', 'est[-0.06,0.02,-0.12,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.01', '592F[4.00,0.00,0.00]=5.84', '5B01[4.00,4.00,0.00]=5.66', 'le_us=5218', 'est[-0.05,0.01,-0.09,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.99', '592F[4.00,0.00,0.00]=5.87', '5B01[4.00,4.00,0.00]=5.71']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.85', '1495[0.00,4.00,0.00]=3.94']"
"['5B01[4.00,4.00,0.00]=5.64', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.85', '1495[0.00,4.00,0.00]=3.96', 'le_us=6469', 'est[-0.05,-0.01,-0.09,63]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.01', '592F[4.00,0.00,0.00]=5.11', '5B01[4.00,4.00,0.00]=5.60']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.82', '1495[0.00,4.00,0.00]=4.02']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.10', '1495[0.00,4.00,0.00]=4.01']"
"['5B01[4.00,4.00,0.00]=5.63', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.24', '1495[0.00,4.00,0.00]=3.98', 'le_us=6103', 'est[-0.03,0.00,-0.06,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.01', '592F[4.00,0.00,0.00]=5.84', '5B01[4.00,4.00,0.00]=5.68', 'le_us=5218', 'est[-0.03,-0.00,-0.05,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.98', '592F[4.00,0.00,0.00]=4.26']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.92', '1495[0.00,4.00,0.00]=3.97', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5523', 'est[-0.03,-0.02,-0.05,68]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.02', '592F[4.00,0.00,0.00]=5.87', '5B01[4.00,4.00,0.00]=5.70']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.91', '1495[0.00,4.00,0.00]=3.99']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.81', '1495[0.00,4.00,0.00]=3.92']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.86', '1495[0.00,4.00,0.00]=3.99']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.81', '1495[0.00,4.00,0.00]=3.92']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.89', '1495[0.00,4.00,0.00]=3.89']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.84', '1495[0.00,4.00,0.00]=4.00']"
