data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.03', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.81', 'le_us=4241', 'est[0.87,0.39,0.16,57]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.08', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3540', 'est[0.85,0.38,-0.11,59]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3723', 'est[0.87,0.39,0.04,57]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3448', 'est[0.88,0.41,0.16,57]']"
"['CD37[0.00,0.00,0.00]=0.98', '592F[4.00,0.00,0.00]=3.02', '1495[0.00,4.00,0.00]=3.62', '5B01[4.00,4.00,0.00]=4.70', 'le_us=3875', 'est[0.87,0.38,0.00,60]']"
"['CD37[0.00,0.00,0.00]=0.98', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.69', 'le_us=3662', 'est[0.87,0.39,0.12,57]']"
"['CD37[0.00,0.00,0.00]=0.99', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.57', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3753', 'est[0.87,0.41,0.21,57]']"
"['CD37[0.00,0.00,0.00]=0.99', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.58', '5B01[4.00,4.00,0.00]=4.72', 'le_us=3723', 'est[0.87,0.42,0.28,57]']"
"['CD37[0.00,0.00,0.00]=0.99', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=3.62', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3936', 'est[0.88,0.42,0.33,57]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.02', '1495[0.00,4.00,0.00]=3.62', '5B01[4.00,4.00,0.00]=4.72', 'le_us=3631', 'est[0.89,0.43,0.36,57]']"
"['CD37[0.00,0.00,0.00]=0.98', '592F[4.00,0.00,0.00]=3.06', '1495[0.00,4.00,0.00]=3.59', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3967', 'est[0.89,0.43,0.38,57]']"
